GID,symbol,name,length,phenotype,function
YNR036C,MRPS12,"Mitochondrial Ribosomal Protein, Small subunit",462,,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YGL104C,VPS73,Vacuolar Protein Sorting,1461,,
YPL159C,PET20,PETite colonies,762,,
YDR511W,SDH7,Succinate DeHydrogenase,402,,Protein involved in gluconeogenisis regulation and carbon utilization; localized to mitochondrial intermembrane space
YDR379C-A,SDH6,,240,,Mitochondrial protein required for assembly of the succinate dehydrogenase complex (respiratory complex II)
YGR257C,MTM1,Manganese Trafficking factor for Mitochondrial SOD2,1101,,Pyridoxal 5' phosphate carrier; involved in cellular iron homeostasis; localizes to mitochondria
YIL060W,,,435,,Protein whose biological role is unknown; localizes to the mitochondrion in a large scale study
YDR185C,UPS3,UnProceSsed,540,,
YLR253W,MCP2,Mdm10 Complementing Protein,1710,,Protein involved in mitochondrion organization during lipid homeostatis; is an integral component of the mitochondrial inner membrane
YOR228C,MCP1,Mdm10 Complementing Protein,909,,Integral membrane protein of the outer mitochondrial membrane; involved in the organization of the mitochondrion as well as in lipid homeostasis
YPL215W,CBP3,Cytochrome B mRNA Processing,1008,"Non-essential gene; in systematic studies, null mutants are incapable of respiratory growth on non-fermentable carbon sources, grow slowly on fermentable carbon sources and show reduced competitive fitness ",Mitochondrial ribosome binding protein; component of the Cbp3p-Cbp6p complex involved in mitochondrial cytochrome bc(1) complex assembly and mitochondrial translation
YGR174C,CBP4,Cytochrome B mRNA Processing,513,"Non-essential gene; in systematic studies, null mutants show reduced rate of respiratory growth on non-fermentable carbon sources, grows slowly on fermentable carbon sources and shows reduced competitive fitness ",Mitochondrial protein involved in mitochondrial cytochrome bc(1) complex assembly
YJL062W-A,COA3,Cytochrome Oxidase Assembly,258,"Non-essential gene; null mutant displays petite phenotype, i.e. forms small colonies on fermentable carbon sources due to respiratory growth defect; null mutant is unable to grow on nonfermentable carbon sources",
YOR226C,ISU2,IscU homolog,471,"Non-essential gene; null mutant shows decreased respiratory growth, reduced biofilm formation, shortened chronological lifespan and lower competitive fitness
","Protein involved in iron-sulfur cluster assembly, iron ion homeostasis and transfer RNA (tRNA) wobble uridine modification; localizes to nucleus and cytosol"
YOL026C,MIM1,Mitochondrial IMport,342,,
YLR099W-A,MIM2,,264,,
YGL107C,RMD9,Required for Meiotic nuclear Division,1941,,
YMR098C,ATP25,ATPase,1839,"Non-essential gene; null mutation causes ""petite"" phenotype - slow growth on glucose and no growth with non-fermentable carbon sources, indicating respiratory deficiency; null mutant also shows increased frequency of mitochondrial genome loss (rho- mutations); in systematic studies null mutants are sensitive to ethanol and palmitoleate, but resistant to miconazole and edelfosine; overexpression in Sigma1278b causes increased invasive growth
","Mitochondrial inner membrane protein, required for stability of the ATP9 mRNA and for assembly of the F1F0 ATP synthase complex"
YIL051C,MMF1,Mitochondrial Matrix Factor,438,"Non-essential gene; null mutation causes isoleucine auxotrophy, respiratory defect and mitochondrial genome instability
",Mitochondrial matrix protein involved in mitochondrial translation and isoleucine biosynthesis
YBR120C,CBP6,Cytochrome B Protein synthesis,489,"Non-essential gene; null mutant shows increased replicative lifespan; in systematic studies, null mutants have lower competitive fitness and slow growth rate",Mitochondrial ribosome binding protein; component of the Cbp3p-Cbp6p complex involved in mitochondrial cytochrome bc(1) complex assembly and mitochondrial translation
YGR207C,CIR1,Changed Intracellular Redox state,786,Non-essential gene; null mutant has faster growth rate and increased sensitivity to oxidative stress during respiratory growth on nonfermentable carbon sources; also shows proliferation of peroxisomes,Protein whose biological role is unknown; localizes to the mitochondrion in different large-scale studies
YHR194W,MDM31,Mitochondrial Distribution and Morphology,1740,,"Protein involved in mitochondrion organization and inheritance and cellular ion homeostasis; regulates cardiolipin metabolic process with Mdm10p, Mmm1p, Mdm12p, and Mdm34p; localizes to the inner mitochondrial membrane"
YBR192W,RIM2,Replication In Mitochondria,1134,,
YNL137C,NAM9,Nuclear Accommodation of Mitochondria,1461,,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YJL063C,MRPL8,"Mitochondrial Ribosomal Protein, Large subunit",717,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YJL096W,MRPL49,"Mitochondrial Ribosomal Protein, Large subunit",486,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YKR085C,MRPL20,"Mitochondrial Ribosomal Protein, Large subunit",588,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YKL138C,MRPL31,"Mitochondrial Ribosomal Protein, Large subunit",396,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YLR312W-A,MRPL15,"Mitochondrial Ribosomal Protein, Large subunit",762,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YMR286W,MRPL33,"Mitochondrial Ribosomal Protein, Large subunit",261,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YML009C,MRPL39,"Mitochondrial Ribosomal Protein, Large subunit",213,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YNL177C,MRPL22,"Mitochondrial Ribosomal Protein, Large subunit",930,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YNL185C,MRPL19,"Mitochondrial Ribosomal Protein, Large subunit",477,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YNL252C,MRPL17,"Mitochondrial Ribosomal Protein, Large subunit",846,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YPL173W,MRPL40,"Mitochondrial Ribosomal Protein, Large subunit",894,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YPR100W,MRPL51,"Mitochondrial Ribosomal Protein, Large subunit",423,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YBR268W,MRPL37,"Mitochondrial Ribosomal Protein, Large subunit",318,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YDR322W,MRPL35,"Mitochondrial Ribosomal Protein, Large subunit",1104,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YDR405W,MRP20,Mitochondrial Ribosomal Protein,792,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YDR116C,MRPL1,"Mitochondrial Ribosomal Protein, Large subunit",858,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YGR220C,MRPL9,"Mitochondrial Ribosomal Protein, Large subunit",810,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YHR147C,MRPL6,"Mitochondrial Ribosomal Protein, Large subunit",645,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YNL005C,MRP7,Mitochondrial Ribosomal Protein,1116,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion; may have a role in ribosomal peptidyltransferase activity"
YDR296W,MHR1,Mitochondrial Homologous Recombination,681,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion; may have independent roles in nuclear transcription regulation and in mitochondrial DNA replication"
YNL284C,MRPL10,"Mitochondrial Ribosomal Protein, Large subunit",969,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YKL170W,MRPL38,"Mitochondrial Ribosomal Protein, Large subunit",417,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YCR071C,IMG2,Integrity of Mitochondrial Genome,441,,
YML025C,YML6,,960,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YGL068W,MNP1,Mitochondrial-Nucleoid Protein,585,"Essential gene in S288C, non-essential in W303; null mutant in W303 shows petite phenotype indicative of respiratory growth defect
","Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion; associates with mitochondrial nucleoids"
YBR282W,MRPL27,"Mitochondrial Ribosomal Protein, Large subunit",441,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YLR439W,MRPL4,"Mitochondrial Ribosomal Protein, Large subunit",960,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YBL038W,MRPL16,"Mitochondrial Ribosomal Protein, Large subunit",699,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YNL122C,,,348,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YDL202W,MRPL11,"Mitochondrial Ribosomal Protein, Large subunit",750,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YOR150W,MRPL23,"Mitochondrial Ribosomal Protein, Large subunit",492,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion; relocalizes to the vacuole in response to hydrogen peroxide"
YMR024W,MRPL3,"Mitochondrial Ribosomal Protein, Large subunit",1173,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YDR237W,MRPL7,"Mitochondrial Ribosomal Protein, Large subunit",879,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YGR076C,MRPL25,"Mitochondrial Ribosomal Protein, Large subunit",474,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YKR006C,MRPL13,"Mitochondrial Ribosomal Protein, Large subunit",795,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YKL167C,MRP49,Mitochondrial Ribosomal Protein,414,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YNR022C,MRPL50,"Mitochondrial Ribosomal Protein, Large subunit",420,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YBR122C,MRPL36,"Mitochondrial Ribosomal Protein, Large subunit",534,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YMR225C,MRPL44,"Mitochondrial Ribosomal Protein, Large subunit",444,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YCR003W,MRPL32,"Mitochondrial Ribosomal Protein, Large subunit",552,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YDR462W,MRPL28,"Mitochondrial Ribosomal Protein, Large subunit",444,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YCR046C,IMG1,Integrity of Mitochondrial Genome,510,,
YMR193W,MRPL24,"Mitochondrial Ribosomal Protein, Large subunit",777,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YEL050C,RML2,Ribosomal Mitochondrial Large,1182,,"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YJR101W,RSM26,Ribosomal Small subunit of Mitochondria,801,,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YMR188C,MRPS17,"Mitochondrial Ribosomal Protein, Small subunit",714,,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YMR158W,MRPS8,"Mitochondrial Ribosomal Protein, Small subunit",468,,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YPR166C,MRP2,Mitochondrial Ribosomal Protein,348,,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YPL013C,MRPS16,"Mitochondrial Ribosomal Protein, Small subunit",366,,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YBR251W,MRPS5,"Mitochondrial Ribosomal Protein, Small subunit",924,,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YBR146W,MRPS9,"Mitochondrial Ribosomal Protein, Small subunit",837,,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YDR337W,MRPS28,"Mitochondrial Ribosomal Protein, Small subunit",861,,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YDR175C,RSM24,Ribosomal Small subunit of Mitochondria,960,,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YGR215W,RSM27,Ribosomal Small subunit of Mitochondria,333,,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YGR084C,MRP13,Mitochondrial Ribosomal Protein,1020,,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YHL004W,MRP4,Mitochondrial Ribosomal Protein,1185,,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YIL093C,RSM25,Ribosomal Small subunit of Mitochondria,795,,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YDL045W-A,MRP10,Mitochondrial Ribosomal Protein,288,,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YNL306W,MRPS18,"Mitochondrial Ribosomal Protein, Small subunit",654,,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YDR494W,RSM28,Ribosomal Small subunit of Mitochondria,1086,,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion; genetic interactions suggest a role in translational initiation"
YDR041W,RSM10,Ribosomal Small subunit of Mitochondria,612,,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YER050C,RSM18,Ribosomal Small subunit of Mitochondria,417,,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YNR037C,RSM19,Ribosomal Small subunit of Mitochondria,276,,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YJR113C,RSM7,Ribosomal Small subunit of Mitochondria,744,,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YGL129C,RSM23,Ribosomal Small subunit of Mitochondria,1353,,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YKL003C,MRP17,Mitochondrial Ribosomal Protein,396,,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YDR347W,MRP1,Mitochondrial Ribosomal Protein,966,,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YBL090W,MRP21,Mitochondrial Ribosomal Protein,534,,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion; genetic interactions with the 5'-untranslated leader of the COX2 mRNA suggest a role in translation initiation"
YPL118W,MRP51,Mitochondrial Ribosomal Protein,1035,,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion; genetic interactions with the 5'-untranslated leader of the COX2 mRNA suggest a role in translation initiation"
YGR165W,MRPS35,"Mitochondrial Ribosomal Protein, Small subunit",1038,,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YOR158W,PET123,PETite colonies,957,,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"
YMR228W,MTF1,Mitochondrial Transcription Factor,1026,,
YBR263W,SHM1,Serine HydroxyMethyltransferase,1473,,
YGR101W,PCP1,Processing of Cytochrome c Peroxidase,1041,"Non-essential gene; null mutant shows respiratory growth defects and abnormal mitochondrial morphology, also shows sensitivity to osmotic stress, caffeine, rapamycin; overexpression causes slow growth
",Serine-type endopeptidase involved in regulation of mitochondrion organization and signal peptide processing; localizes to mitochondrial inner membrane
YCR083W,TRX3,ThioRedoXin,384,,
YHR106W,TRR2,ThioRedoxin Reductase,1029,,
YKL194C,MST1,"Mitochondrial aminoacyl-tRNA Synthetase, Threonine",1389,,Mitochondrial threonyl-tRNA synthetase that performs threonyl-tRNA aminoacylation in the mitochondria by coupling threonine to threonyl-tRNA
YDR194C,MSS116,Mitochondrial Splicing System,1995,,
YDR197W,CBS2,Cytochrome B Synthesis,1170,"Non-essential gene; null mutation causes accumulation of unspliced COB and COX1 mRNA precursors and inability to grow on non-fermentable carbon sources; in systematic studies null mutants show slow growth rate, increased resistance to azoles and reduced competitive fitness",Mitochondrial translation regulator required for assembly of mitochondrial respiratory chain complex III; localizes to mitochondrial inner membrane; associates with mitochondrial ribosomes
YOR187W,TUF1,,1314,"Non-essential gene; null mutants show small cell size, grow slowly, are defective in vacuolar fragmentation, have abnormal mitochondria, are impaired in respiration, have shortened lifespan, and decreased biofilm formation; null mutants are resistant to phosphatidylinositol 3-kinase inhibitor wortmannin, TOR inhibitor rapamycin, apoptosis inducer edelfosine, azole drugs and some metals; null mutants are sensitive to quinine, ethanol, and herbicides; overexpression slows growth; R328Q reduction-of-function mutation that corresponds to infantile macrocystic leukodystrophy-associated mutation in human EFTu impairs respiratory growth
","Mitochondrial translation elongation factor, catalyzes the binding of aminoacyl-tRNA to ribosomes and possesses an intrinsic GTPase activity"
YGL143C,MRF1,Mitochondrial peptide chain Release Factor,1242,,
YPR011C,,,981,,
YDL036C,PUS9,PseudoUridine Synthase,1389,,
YDR268W,MSW1,"Mitochondrial aminoacyl-tRNA Synthetase, tryptophan (W)",1140,,Mitochondrial tryptophanyl-tRNA synthetase that performs tryptophanyl-tRNA aminoacylation by coupling tryptophan to tryptophanyl-tRNA
YCR079W,PTC6,Phosphatase Two C,1329,,Protein serine/threonine phosphatase involved in mitophagy and macroautophagy; localized to mitochondria
YOR090C,PTC5,Phosphatase Two C,1719,,
YPL097W,MSY1,"Mitochondrial aminoacyl-tRNA Synthetase, tyrosine (Y)",1479,,Mitochondrial tyrosyl-tRNA synthetase that performs mitochondrial tyrosyl-tRNA aminoacylation by coupling tyrosine to tyrosyl-tRNA
YJR100C,AIM25,Altered Inheritance of Mitochondria,984,"Non-essential gene; null mutant has increased competitive fitness on minimal medium; null mutant displays an increased frequency of spontaneous mitochondrial genome loss
","Mitochondrial protein involved in then regulation of chronological lifespan, and the response to both heat shock and oxidative stress; negative regulator of mitophagy"
YLR113W,HOG1,High Osmolarity Glycerol response,1308,"Non-essential gene; null mutant is sensitive to hyperosmotic stress and fails to accumulate glycerol under hyperosmotic conditions; null mutation confers increased sensitivity to cold, acid and multiple chemicals including tunicamycin, DTT, SDS, Congo Red
",Mitogen-activated protein kinase involved in osmoregulation
YGR040W,KSS1,Kinase Suppressor of Sst2 mutations,1107,"Non-essential gene; reported to be nonfunctional in S288C and related strains; in Sigma1278b null mutation decreases filamentous and invasive growth and causes sensitivity to osmotic stress; reduction-of-function mutations in Sigma1278b lead to abnormal distribution of Bcy1p and Sks1p, and sterile phenotype
",
YBL016W,FUS3,cell FUSion,1062,"Non-essential gene; isolated based on a bilateral cell fusion defect; null mutant has reduced mating efficiency and is unable to undergo pheromone induced G1 arrest; overexpression increases pheromone sensitivity; null mutant displays decreased autophagy and endocytosis; null mutant is hyperfilamentous and disrupts the nuclear localization of Sks1p and Ksp1p after induction of filamentous growth
",MAP kinase involved in pheromone-dependent signal transduction during mating; has a role in invasive growth in response to glucose limitation and negative regulation of MAPK cascade; localized to both the nucleus and mating projection tip
YBR158W,AMN1,Antagonist of Mitotic exit Network,1650,"Non-essential gene; null mutant has slow growth in rich media, decreased competitive fitness in minimal medium and a reduced ability to utilize urea as nitrogen source; null mutant displays greatly decreased filamentous growth and is unable to undergo invasive growth; null mutant displays reduced flocculation; overexpression results in a decreased growth rate, misshapen, elongated cells with multiple nuclei and a shift towards 2C DNA content with eventual inviability; overexpression results in an elevated frequency of mitotic recombination, and an increased frequency of chromosome loss and non-disjunction, indicative of chromosomal instability
","Protein involved in the mitotic cell cycle checkpoint and regulation of mitotic exit; localizes to the nucleus, cytoplasm, and cellular bud"
YNL315C,ATP11,ATP synthase,957,"Non-essential gene; null mutant is incapable of respiratory growth on non-fermentable carbon source and shows no sporulation, increased sensitivity to starvation and oxidative stress, increased resistance to benomyl and caffeine, and decreased resistance to ethanol, MMS, neomycin, streptomycin
",Protein with a role in assembly of the mitochondrial F1F0 ATP synthase complex; binds to the unfolded Atp2p subunit during assembly; localized to mitochondria
YMR200W,ROT1,Reversal Of Tor2 lethality,771,,
YKL073W,LHS1,Lumenal Hsp Seventy,2646,,
YMR210W,MGL2,MonoacylGlycerol Lipase,1350,,Monoacylglycerol and triacylglycerol lipase; involved in triacylglycerol catabolism; minor role in the biosynthesis of medium-chain fatty acid ethyl ester
YKL094W,YJU3,,942,,
YML004C,GLO1,GLyOxalase,981,,Glyoxalase I; catalyzes the catabolic conversion of methylglyoxal to S-lactoyl-glutathione in a condensation reaction that consumes glutathione; localizes to the nucleus and cytoplasm in high-throughput studies
YDR228C,PCF11,Protein 1 of Cleavage and polyadenylation Factor I,1881,,
YDR370C,DXO1,Decapping eXOnuclease,1329,,
YOL139C,CDC33,Cell Division Cycle,642,"Essential gene; reduced function mutants show decreased competitive fitness, are sensitive to DNA-damaging agent methyl methanesulfonate (MMS); base-substitution mutants are resistant to cycloheximide; at permissive temperatures, conditional mutants have a G1 delay, complete loss of pseudohyphal growth; at elevated temperatures, conditional mutants accumulate 80S monosomes, arrest in G1, have decreased budding index, and are completely impaired in adhesion; repression induces defects in cytokinesis; overexpression confers resistance to rapamycin; heterozygous diploid nulls are haploinsufficient
","Translation initiation factor eIF4E, mRNA cap binding protein involved in translation initiation; localized to cytoplasm and nucleus"
YKL186C,MTR2,Mrna TRansport,555,,
YPL259C,APM1,clathrin Adaptor Protein complex Medium chain,1428,"Non-essential gene; null mutant displays defects in vacuolar protein sorting; null mutants are also sensitive to acid pH, Congo Red, quinine, rapamycin; in large-scale studies null mutant shows reduced competitive fitness and sensitivity to multiple drugs
",Subunit of the AP-1 adaptor complex that binds clathrin and functions in golgi to vacuole transport
YBR288C,APM3,clathrin Adaptor Protein complex Medium chain,1452,"Non-essential gene; null mutant shows defects in vacuolar protein sorting; null mutant also show abnormal accumulation of polyphosphates and magnesium ions, excretion of inositol, and sensitivity to multiple chemicals, including DTT, chlorophenol, caspofungin, tunicamycin
",Subunit of the AP-3 adaptor complex that functions in golgi to vacuole transport
YGR014W,MSB2,Multicopy Suppression of a Budding defect,3921,,
YFL041W,FET5,FErrous Transport,1869,,
YOR354C,MSC6,Meiotic Sister-Chromatid recombination,2079,,
YML116W,ATR1,AminoTriazole Resistance,1629,"Non-essential gene; null mutant displays decreased competitive fitness in minimal medium; null mutant is highly sensitive to boron, and accumulates boron, while overexpression results in increased boron resistance; null mutant has decreased resistance to tin; null mutant displays increased levels of spontaneous Rad52p foci
",
YBR043C,QDR3,QuiniDine Resistance,2070,,
YCL030C,HIS4,HIStidine requiring,2400,"Non-essential gene; mutations confer histidine auxotrophy and increased sensitivity to metal ions
","Multifunctional enzyme with phosphoribosyl-ATP pyrophosphatase, phosphoribosyl-AMP cyclohydrolase, and histidinol dehydrogenase activities; catalyzes several steps in the biosynthesis of histidine; localizes to the cytoplasm in high-throughput studies"
YNL256W,FOL1,FOLic acid synthesis,2475,,
YBR074W,PFF1,Protease in FXNA-related Family,2931,,Protein whose biological role is unknown; localizes to the vacuole membrane
YAL056W,GPB2,,2643,"Non-essential gene; null mutant is auxotrophic for myo-inositol, has a pseudohyphal growth defect, small cell size in saturated culture, decreased basal and acquired ethanol tolerance, and decreased acquired therotolerance; diploid null mutant is haploinsufficient, and has a sporulation defect
",
YOL052C-A,DDR2,DNA Damage Responsive,186,Non-essential gene; null mutant has lower survival in stationary phase; in systematic studies mutants show reduced competitive fitness and abnormal polyphosphate accumulation,
YOL073C,DSC2,Defective for SREBP Cleavage,969,,Predicted integral membrane protein whose biological role is unknown; localizes to the Dsc E3 ubiquitin ligase complex
YLR181C,VTA1,VpsTwenty Associated,993,,
YKR099W,BAS1,BASal,2436,"Non-essential gene; null mutant has abnormal vacuolar morphology, decreased transposition, increased replicative lifespan, is resistant to oxidative stress, sensitive to desiccation, impaired in endocytosis, and auxotrophic for adenine; null mutant also shows increased invasive growth; heterozygous diploid null is haploinsufficient; overexpression slows growth
",Sequence-specific DNA binding RNA polymerase II transcription activator
YOL103W,ITR2,myo-Inositol TRansporter,1830,,
YDR497C,ITR1,myo-Inositol TRansporter,1755,,
YIL149C,MLP2,Myosin-Like Protein,5040,,
YOR320C,GNT1,GlcNAc Transferase,1476,,
YKR080W,MTD1,Methylene Tetrahydrafolate Dehydrogenase,963,,
YMR041C,ARA2,ARAbinose,1008,"Non-essential gene; null mutant shows reduced levels of dehydro-D-arabinono-1,4-lactone and decreased competitive fitness
",
YDL171C,GLT1,GLuTamate synthase,6438,,
YOL059W,GPD2,Glycerol-3-Phosphate Dehydrogenase,1323,,NAD-dependent glycerol-3-phosphate dehydrogenase involved in glycerol metabolism and NADH oxidation; localized in the cytosol and mitochondrion
YDL022W,GPD1,Glycerol-3-Phosphate Dehydrogenase,1176,"Non-essential gene; null mutant shows increased accumulation of ethanol and decreased accumulation of glycerol, also shows sensitivity to hyperosmotic stress; overexpression causes increased accumulation of glycerol, acetate, acetoin and butane-2,3-diol
",NAD-dependent glycerol-3-phosphate dehydrogenase with key role in synthesis of glycerol and in intracellular glycerol accumulation in response to high-osmolarity stress; localized to the cytoplasm and peroxisomes
YOL068C,HST1,Homolog of SIR Two (SIR2),1512,,Histone deacetylase subunit of the Set3 complex involved in transcription regulation; also involved in negative regulation of mitotic recombination and chromatin silencing at silent mating-type cassettes
YAL060W,BDH1,Butanediol DeHydrogenase,1149,"Non-essential gene; null mutant displays decreased accumulation of (R,R)-butane-2,3-diol and acetoin; null mutant shows filamentous growth defect; heterozygous null mutant displays decreased fitness
",
YKL071W,,,771,,Protein that reduces aldehyde in an NADH-dependent manner; involved in cellular detoxification of aldehyde; localizes to the cytoplasm in a high-throughput study
YNL134C,,,1131,,
YGL067W,NPY1,NADH PYrophosphatase,1155,,
YML120C,NDI1,NADH Dehydrogenase Internal,1542,"Non-essential gene; null mutation results in decreased apoptosis, replicative lifespan and respiratory growth; overexpression causes increased accumulation of reactive oxygen species
","NADH:ubiquinone oxidoreductase involved in mitochondrial electron transport, chronological cell aging, NADH oxidation, and positive regulation of apoptosis; localizes to the mitochondrion"
YNL200C,NNR1,Nicotinamide Nucleotide Repair,741,,
YHR042W,NCP1,NADP-Cytochrome P450 reductase,2076,,
YBR149W,ARA1,D-ARAbinose dehydrogenase,1035,"Non-essential gene; null mutation decreases utilization rate of galactose and glucose as carbon sources, and allantoin, glutamate, glutamine as nitrogen sources'
",
YAL062W,GDH3,Glutamate DeHydrogenase,1374,"Non-essential gene; null mutant displays decreased competitive fitness, decreased growth in ethanol containing media and increased sensitivity to calcofluor white
",
YOR375C,GDH1,Glutamate DeHydrogenase,1365,"Non-essential gene; null mutant accumulates 2-oxoglutarate when grown on glucose as a carbon source and shows respiratory growth deficiency on non-fermentable carbon sources
",Glutamate dehydrogenase (NADP+) involved in glutamate biosynthesis and the ammonia assimilation cycle; localized to the nucleus
YMR226C,,,804,,
YGL157W,ARI1,"Aldehyde Reductase Intermediate, subclass of SDR",1044,"Non-essential gene; null mutant becomes sensitive to aluminum under disulfide stress and shows reduced growth rate
",
YDR368W,YPR1,Yeast Putative Reductase,939,"Non-essential gene; in large-scale studies, the null mutant displays increased competitive fitness, decreased endocytosis, and sensitivity to DMSO; null mutant requires myo-inositol; heterozygous null mutant diploid is haploproficient
",NADPH-dependent carbonyl reductase involved in arabinose catabolism
YDL124W,,,939,,An aldo-keto reductase involved in cellular response to oxidative stress and cellular ketone and amide metabolism
YMR318C,ADH6,Alcohol DeHydrogenase,1083,"Non-essential gene; null mutant is sensitive to veratraldehyde, amitrole, cycloheximide and streptomycin
","Alcohol dehydrogenase involved in alcohol, aldehyde, and furaldehyde metabolism"
